Métrique,Médiane,Quartile Inférieur,Quartile Supérieur,Longueur,Limite Supérieure,Limite Inférieure,Points extrêmes
WMC,13.0,10.0,18.0,8.0,30.0,7,"34, 32, 42, 37, 64, 34, 57, 38, 35, 37"
TLOC,141.0,105.0,221.5,116.5,396.25,68,"840, 522, 905, 467, 994, 552, 398, 433, 1045, 792, 460, 512"
